sequence,launch_date,arrival_date,tof_years,c3_kms2,vinf_dep_kms,delivered_mass_kg,total_dsm_kms,dsm_per_leg_kms,vinf_arr_kms,objective_kms,flyby_bodies,flyby_dates,flyby_alts_km,leg_tofs_days,ref_study,ref_c3_kms2,ref_dsm_kms,ref_vinf_arr_kms,ref_tof_years,ref_notes
01 Direct,2030-Jan-20 13:05:01.003345,2032-May-04 15:56:52.561133,2.29,76.73,8.760,7209,0.0000,,6.406,6.406,,,,835.1,N/A,~77,0,~6,~2.7,Hohmann min-energy; C3≈77 rules out all LVs at mission mass
02 ΔV-EGA,2032-May-08 12:26:32.900509,2036-Nov-10 13:46:06.052676,4.51,28.39,5.328,12690,0.5424,0.5422;0.0002,5.797,0.5424,earth,2034-Jun-25 02:24:08.488312,1339,777.6;869.5,2016 SDT ΔV-EGA,25–30,~0.3 (aphelion DSM),~6 (at Ganymede G0),4.5–5.0,SLS launch; 2:1 resonance ΔV-EGA; C3 provided by LV
03 VEGA,2034-Jan-07 07:21:10.207313,2038-Dec-26 05:47:12.665841,4.97,48.17,6.941,9289,1.4838,0.0915;0.0002;1.3921,6.006,1.4838,venus;earth,2035-Mar-06 06:41:26.091869;2036-Oct-01 13:53:35.315357,3132;1339,423.0;575.3;815.7,2012 Europa Study (VEGA class),15–20,~0.1–0.5 (after Venus flyby),~6–7 (at Ganymede G0),4.4–5.4,VEGA underperforms VEEGA on mass but shorter TOF; Delta IV Heavy baseline
04 VEEGA,2034-Jul-05 08:00:05.149162,2041-Jun-29 14:56:06.233315,6.99,8.84,2.974,17623,1.0393,0.0021;0.6426;0.3943;0.0004,5.623,1.0393,venus;earth;earth,2034-Nov-26 14:43:02.530933;2036-Aug-15 03:17:24.726611;2038-Nov-21 06:11:05.010938,13341;2920;3629,144.3;627.5;828.1;951.4,2012 Europa Study (VEEGA baseline),~15 (14.2 exact),0-0.1 (optimal day zero; up to 0.1 over launch period),"~7.4 (V∞ at Ganymede G0, pre-JOI)",6.36,"Delta IV Heavy; V flyby 3184km, E flybys 11764/3336km; DSM on E-V leg"
05 VVEGA,2033-Mar-26 02:06:47.164113,2041-Nov-07 06:29:27.228509,8.62,29.12,5.396,12535,1.8382,1.3763;0.4216;0.0397;0.0004,8.202,1.8382,venus;venus;earth,2033-Sep-01 14:53:44.744747;2034-Nov-17 12:20:21.929327;2036-Aug-27 10:21:51.184302,5417;6624;1667,159.5;441.9;648.9;1897.8,Cassini-class VVEJGA (adapted),~10–20 (Cassini VVEJGA had C3≈16 to Saturn),~0.5–1.5 (estimated for Jupiter target),~6–8,5–8,Double Venus flyby adds ~1–2 yr but may lower C3; less studied for Jupiter
