seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed2718,22,2030-03-28,2030-Mar-28 05:20:37.692208,2035-Oct-21 05:56:00.661349,2.070692831152,2.070692831152,14.999999999992,5.869442723741,5.566117923072,rank_022.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_022.json
seed314,26,2030-03-28,2030-Mar-28 05:20:40.676997,2035-Oct-21 05:58:00.921863,2.070692831152,2.070692831152,14.999999999993,5.869440345335,5.566121639316,rank_026.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_026.json
seed2718,20,2030-03-28,2030-Mar-28 05:20:38.499496,2035-Oct-21 05:56:12.796858,2.070692831152,2.070692831152,14.999999999995,5.869442463818,5.566118282042,rank_020.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_020.json
seed314,23,2030-03-28,2030-Mar-28 05:20:39.046269,2035-Oct-21 05:57:10.992763,2.070692831152,2.070692831152,14.999999999995,5.869441266579,5.566120108833,rank_023.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_023.json
seed314,24,2030-03-28,2030-Mar-28 05:20:38.210399,2035-Oct-21 05:57:05.453175,2.070692831152,2.070692831152,14.999999999996,5.869441299401,5.566119959781,rank_024.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_024.json
seed2718,25,2030-03-28,2030-Mar-28 05:20:41.160332,2035-Oct-21 05:57:06.601370,2.070692831153,2.070692831153,14.999999999830,5.869441577810,5.566119902687,rank_025.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_025.json
seed2718,28,2030-03-28,2030-Mar-28 05:20:40.904050,2035-Oct-21 05:56:35.424487,2.070692831153,2.070692831153,14.999999999948,5.869442394153,5.566118922872,rank_028.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_028.json
seed314,28,2030-03-28,2030-Mar-28 05:20:38.030266,2035-Oct-21 05:56:34.071903,2.070692831153,2.070692831153,14.999999999956,5.869442175258,5.566118971076,rank_028.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_028.json
seed314,30,2030-03-28,2030-Mar-28 05:20:39.640139,2035-Oct-21 05:57:26.409651,2.070692831153,2.070692831153,14.999999999967,5.869440565220,5.566120578546,rank_030.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed314/candidate_details/rank_030.json
seed2718,24,2030-03-28,2030-Mar-28 05:20:43.200664,2035-Oct-21 05:57:12.975936,2.070692831153,2.070692831153,14.999999999972,5.869441468065,5.566120040031,rank_024.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/dvega/dvega_batches/seed2718/candidate_details/rank_024.json
