seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed2718,3,2034-06-17,2034-Jun-17 07:13:25.418659,2041-Jul-28 10:01:26.142653,1.221202675301,1.221202675301,15.000000000000,5.471172425034,7.113255783836,rank_003.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed2718/candidate_details/rank_003.json
seed314,12,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.263312593607,1.263312593607,13.872379156609,5.540564715983,7.015561432751,rank_012.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_012.json
seed314,13,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 07:19:18.261030,1.269342015048,1.269342015048,14.018697855823,5.552544999651,7.013788712823,rank_013.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_013.json
seed314,14,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.269380700023,1.269380700023,14.018697855823,5.550623411916,7.015561432751,rank_014.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_014.json
seed314,15,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.276912941585,1.276912941585,14.018697855823,5.541273107293,7.015561432751,rank_015.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_015.json
seed314,16,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.277620041907,1.277620041907,14.018697855823,5.543339114338,7.015561432751,rank_016.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_016.json
seed314,17,2034-06-24,2034-Jun-24 08:13:10.194459,2041-Aug-16 06:05:09.537793,1.280962565393,1.280962565393,15.000000000000,5.599295177701,7.145547169092,rank_017.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_017.json
seed314,18,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.298759431755,1.298759431755,14.018697855823,5.564739682372,7.015561432751,rank_018.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_018.json
seed314,19,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.301305617304,1.301305617304,13.685241179847,5.555142310971,7.015561432751,rank_019.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_019.json
seed314,20,2034-06-09,2034-Jun-09 12:26:59.577259,2041-Jun-14 22:51:41.047456,1.303300358639,1.303300358639,13.950994319350,5.564925828747,7.015561432751,rank_020.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_020.json
